,OVERALL,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att.Position,Interceptions,Vision,Composure,Crossing,short_pass,long_pass,acceleration,stamina,strength,balance,sprint_speed,agility,jumping,heading,shot_power,finishing,long_shots,curve,fk_acc,penalties,volleys,gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes
45,86,90,90,78,83,82,89,87,71,85,88,94,77,90,89,68,76,53,94,61,91,65,55,56,60,58,80,64,64,64,15,12,12,15,10
46,86,89,85,59,49,54,73,90,89,49,85,89,83,85,82,80,86,63,83,80,91,90,83,82,84,82,86,85,79,87,13,14,8,14,14
47,86,80,78,30,30,41,71,87,87,27,75,86,73,77,70,78,73,95,46,84,60,71,87,87,88,74,78,66,88,77,7,8,15,14,10
48,86,85,81,83,80,83,81,83,77,85,82,92,62,86,83,40,80,74,50,43,67,66,68,61,67,54,66,68,60,44,9,5,8,13,13
49,86,85,81,74,80,78,75,80,83,81,78,80,85,85,79,87,87,61,85,86,90,80,70,64,73,66,80,63,59,60,6,13,15,13,13
50,86,84,78,84,77,83,84,86,78,85,83,82,82,86,87,68,91,78,68,67,69,78,65,77,73,75,80,74,64,71,9,7,13,7,13
51,86,91,92,34,22,27,54,82,84,41,86,89,77,85,81,88,77,61,92,85,90,55,61,82,79,77,83,79,87,82,8,11,12,6,8
52,86,91,86,58,29,53,56,87,86,50,91,92,84,92,84,68,70,46,87,61,85,64,53,72,72,73,82,77,75,82,6,6,15,7,12
53,86,80,63,88,84,86,79,88,64,87,72,87,57,81,81,50,69,87,35,64,57,74,84,62,65,51,58,43,69,57,15,10,11,14,8
54,86,86,85,50,34,30,56,86,80,40,87,85,83,85,80,92,75,44,94,84,93,70,38,79,77,82,85,79,72,72,9,8,11,12,6
55,86,61,59,93,87,89,90,82,28,88,50,82,54,65,65,60,54,87,57,70,57,87,80,78,33,49,60,31,50,45,4,3,3,2,3
56,85,73,64,89,85,88,92,86,39,84,40,81,34,80,74,60,89,86,56,67,54,78,86,74,29,22,33,26,45,30,7,7,8,13,12
57,85,76,66,86,82,85,83,84,44,83,63,82,52,75,74,68,76,88,60,75,56,84,86,82,50,66,48,55,40,45,12,12,11,11,10
58,85,85,88,45,33,38,73,85,83,42,82,80,80,82,72,89,87,76,75,93,85,75,68,92,85,81,83,76,81,73,7,11,6,15,14
59,85,88,86,78,74,79,79,83,79,78,85,84,64,85,85,66,85,88,63,72,64,85,86,83,80,80,78,75,56,74,16,7,10,7,7
60,85,84,88,36,35,32,63,79,84,34,82,80,83,81,64,91,68,71,78,92,84,64,72,87,81,78,83,82,71,85,9,8,12,9,14
61,85,85,85,79,80,82,73,85,80,80,83,85,86,85,78,87,90,60,78,85,80,72,72,80,68,75,84,69,46,62,14,6,9,15,14
62,85,83,82,81,83,84,79,85,77,81,76,81,82,83,78,84,87,69,79,83,79,75,67,74,66,64,78,52,61,59,11,16,12,15,11
63,85,91,91,45,22,31,48,81,80,39,82,84,81,80,75,87,76,57,88,79,92,60,48,79,81,79,85,78,70,76,11,15,9,13,6
64,85,78,55,86,86,87,80,84,55,85,59,83,42,77,76,79,75,86,39,85,62,81,85,52,46,53,46,52,43,42,5,11,11,9,14
65,85,88,86,58,52,70,29,80,80,59,88,78,76,90,89,76,75,64,74,72,81,53,49,78,78,78,86,81,56,78,12,6,8,6,11
66,85,93,90,53,22,24,34,80,81,26,85,83,83,83,78,92,70,34,93,84,93,50,59,78,75,84,87,77,74,74,9,8,4,14,10
67,85,75,66,89,85,87,77,85,31,87,70,85,49,75,71,72,66,78,59,76,61,79,84,65,25,60,45,16,41,27,14,8,10,7,13
68,85,84,80,82,70,80,79,88,82,82,86,86,85,86,83,68,93,75,82,66,73,59,61,83,72,80,85,76,59,56,10,14,12,5,13
69,85,23,14,11,17,19,33,83,15,16,42,40,15,35,37,44,44,72,43,46,50,58,14,60,15,18,20,13,20,13,84,85,83,80,87
70,85,86,82,70,69,70,58,80,82,81,89,85,86,92,90,52,78,70,72,49,63,49,61,81,83,88,88,90,88,72,14,5,9,12,8
71,85,91,90,67,68,71,54,84,75,82,85,86,78,89,89,72,74,59,90,55,91,77,54,75,68,73,85,77,75,84,9,6,11,7,13
72,85,81,79,27,36,29,43,86,90,48,77,87,76,77,64,88,79,74,68,91,77,75,73,82,89,78,81,76,83,83,9,6,9,15,9
73,85,25,19,25,20,16,34,82,11,23,42,45,16,35,31,42,35,74,42,44,41,67,23,62,10,12,18,11,24,10,84,84,85,82,86
74,85,89,88,25,40,40,59,86,85,36,83,81,79,82,74,90,70,37,92,82,94,58,40,80,84,81,82,79,79,70,10,7,10,8,4
75,85,79,67,87,84,86,76,82,59,88,71,86,60,80,80,54,71,82,66,61,67,90,81,71,40,65,62,61,60,61,9,9,12,5,10
76,85,40,12,14,13,14,35,82,13,20,59,67,18,44,46,45,34,64,47,51,61,60,16,60,12,14,13,15,26,15,83,84,78,80,90
77,84,84,85,56,44,31,86,85,86,45,77,83,56,78,73,83,77,83,78,83,86,88,84,80,86,74,78,43,74,83,8,11,8,8,13
78,84,89,87,76,70,79,75,85,75,77,86,90,73,88,84,68,76,68,90,65,79,68,58,78,70,76,76,60,69,63,11,6,13,13,12
79,84,85,85,55,30,32,52,81,85,29,85,83,82,81,73,83,82,57,79,81,82,72,60,80,84,81,74,71,84,73,13,10,6,10,11
80,84,85,84,36,35,40,75,86,87,59,76,84,60,79,63,76,79,75,75,71,77,86,85,83,88,78,76,33,89,84,11,14,13,7,8
81,84,78,72,87,85,90,87,87,67,90,68,80,53,78,75,69,91,78,68,72,69,90,74,80,50,70,60,60,57,68,7,13,14,7,13
82,84,84,83,79,74,80,83,86,85,82,85,83,74,85,82,84,89,79,69,89,82,69,67,84,80,79,73,58,64,64,11,13,6,6,15
83,84,87,88,34,30,42,79,79,82,34,83,89,79,84,78,81,79,81,91,79,81,64,49,84,83,84,83,79,74,77,14,15,9,8,15
84,84,66,54,88,86,87,89,79,24,85,46,76,47,70,67,71,64,88,40,69,54,90,83,72,37,48,36,44,38,30,10,9,11,7,15
85,84,84,76,77,80,81,85,76,70,81,80,82,72,83,84,62,94,67,76,63,72,67,70,80,69,84,79,74,69,65,11,8,8,15,8
86,84,85,84,39,19,20,63,87,88,37,68,79,69,79,55,93,83,65,76,89,82,75,76,85,81,77,70,58,78,84,15,9,9,8,9
87,84,85,83,44,40,56,73,84,82,52,89,79,88,86,89,79,79,58,78,77,85,36,52,83,73,77,90,78,67,74,8,11,7,11,14
88,84,82,85,69,68,72,80,82,79,63,81,80,91,78,75,89,90,77,79,88,77,67,59,85,75,78,79,80,64,70,12,13,14,12,13
89,84,84,85,44,41,41,61,86,85,42,78,78,77,79,75,80,79,75,70,78,77,76,81,81,88,82,75,62,85,80,12,15,12,7,10
90,84,82,79,71,59,70,77,86,83,66,83,80,74,84,81,76,85,76,80,83,75,71,60,88,81,88,76,78,72,82,15,11,13,14,13
91,84,83,84,53,30,38,81,83,84,53,78,81,73,81,75,69,86,84,68,82,75,75,85,83,84,74,75,51,92,82,14,7,11,13,10
92,84,84,85,29,20,31,72,83,85,28,85,79,84,81,76,81,78,81,79,82,79,69,65,87,83,83,85,83,76,74,12,8,14,6,10
93,84,88,88,53,26,32,58,80,85,46,87,80,82,86,77,73,65,74,66,74,71,34,58,88,85,89,85,85,78,83,12,13,13,8,6
94,84,84,78,78,84,83,76,83,73,82,75,81,88,81,73,78,86,69,78,78,74,92,71,83,60,76,83,83,60,68,6,6,12,9,13
95,84,87,87,34,26,33,62,86,90,44,80,85,74,82,66,82,74,68,90,80,90,77,74,84,88,74,82,76,85,84,7,6,13,9,7
96,84,87,85,51,26,34,56,83,85,41,89,86,86,87,80,66,86,79,84,69,76,59,66,79,83,76,85,79,86,79,9,11,11,14,16
97,84,86,87,39,18,21,63,84,84,39,81,85,80,80,73,78,69,60,72,86,90,66,77,79,89,81,79,83,82,83,12,12,16,9,13
98,84,35,16,27,18,15,28,79,7,25,56,66,9,50,48,55,43,70,44,56,52,73,13,59,9,14,9,8,23,10,84,85,80,78,86
99,84,81,80,80,80,80,80,82,70,80,70,80,84,81,71,78,86,77,77,83,78,79,76,80,55,72,78,59,60,68,12,7,7,9,5
100,84,80,79,77,83,84,84,84,68,80,69,75,77,79,77,90,87,80,69,94,66,83,75,86,51,69,76,71,63,57,15,12,6,16,8
101,84,86,85,51,54,38,51,85,85,48,84,84,85,85,76,76,67,66,82,74,82,70,44,87,84,83,88,85,76,85,13,12,12,13,11
102,84,89,86,76,67,75,70,86,82,78,86,87,78,88,85,66,74,73,77,66,77,61,50,79,80,81,86,80,80,75,5,11,14,5,13
103,84,75,69,87,80,84,82,82,38,88,74,86,44,79,84,58,66,79,55,62,60,85,83,74,48,65,56,60,70,58,2,2,2,3,4
104,84,75,62,88,85,88,82,86,52,85,62,86,64,77,81,60,78,78,62,63,59,80,81,78,45,58,63,59,58,38,16,16,6,14,14
105,84,71,64,84,86,86,83,85,47,83,78,84,69,77,84,64,60,88,52,79,56,74,84,78,34,58,53,31,46,52,6,7,12,15,5
106,84,88,85,79,71,80,75,86,79,80,79,86,72,87,81,78,93,74,88,77,84,81,78,78,75,73,78,73,74,73,12,16,6,14,6
107,84,81,75,57,39,48,83,90,92,54,76,85,68,76,52,66,84,77,57,72,68,88,87,87,87,75,77,75,85,86,13,12,5,13,10
108,84,25,15,9,12,19,38,81,15,21,64,57,13,40,31,48,45,68,58,54,55,73,10,63,13,12,12,13,24,8,86,79,81,84,84
109,84,83,84,81,80,78,75,84,81,83,80,81,83,81,75,90,81,39,84,84,81,63,75,75,66,70,82,46,56,75,7,10,10,15,13
110,84,81,76,87,80,85,87,86,70,86,68,81,68,83,81,67,69,76,77,52,69,84,71,83,66,77,70,72,61,73,13,12,11,5,7
111,84,86,80,28,24,37,84,84,91,20,84,90,72,80,73,60,54,87,39,60,71,67,83,88,86,88,80,78,81,88,9,13,15,10,12
112,83,82,79,79,76,80,81,84,76,81,80,82,66,85,84,82,86,79,69,90,76,59,59,80,69,81,70,66,59,70,15,6,10,6,8
113,83,87,85,58,47,59,64,82,81,59,82,81,75,84,77,83,76,44,90,79,89,49,47,82,79,70,73,59,64,59,10,8,15,6,13
114,83,84,85,39,38,46,42,81,82,38,80,84,72,84,78,78,78,69,76,87,78,75,78,74,80,77,84,53,73,80,10,6,8,11,12
115,83,84,89,42,33,30,54,78,77,36,76,80,81,78,76,93,68,51,81,92,89,58,43,83,75,76,82,64,75,76,10,6,6,14,13
116,83,86,87,53,28,30,73,87,87,32,77,79,66,77,66,87,79,69,90,83,91,78,77,84,83,76,76,54,75,77,6,13,8,6,15
117,83,83,85,24,33,35,62,84,82,40,83,81,83,83,82,90,88,68,71,87,86,69,64,82,74,78,86,78,77,76,15,12,12,13,13
118,83,76,81,80,91,86,78,82,70,83,66,76,75,75,58,84,81,72,72,88,85,67,55,70,46,46,73,45,56,43,8,9,8,6,8
119,83,78,80,77,80,81,82,82,80,79,75,78,78,80,78,91,89,82,79,92,80,78,72,69,63,64,72,35,49,50,10,7,16,9,9
120,83,78,63,82,84,85,90,80,39,84,64,80,62,79,75,72,80,86,60,74,69,78,78,61,31,37,50,32,50,33,15,7,8,14,9
121,83,73,67,83,82,85,81,83,51,84,60,74,69,78,65,78,74,83,66,85,65,76,74,41,26,26,41,29,26,24,7,8,13,14,7
122,83,87,87,79,79,82,84,83,81,78,82,87,87,81,78,77,90,80,90,75,82,63,57,82,66,81,88,75,76,68,13,8,14,13,14
123,83,82,80,75,79,78,80,86,86,77,77,77,82,80,77,84,86,76,66,84,70,91,82,76,79,68,70,58,50,71,16,7,16,15,10
124,83,85,86,65,51,49,63,74,77,65,87,76,84,83,81,80,78,56,83,77,85,46,52,76,73,77,81,83,63,73,8,14,15,15,10
125,83,76,65,85,86,85,88,85,62,83,63,76,78,74,63,77,75,77,68,76,70,85,82,62,53,51,59,39,42,46,14,10,7,8,10
126,83,84,84,77,80,78,77,81,79,80,79,81,88,83,81,86,85,60,85,64,82,73,65,80,70,69,83,76,55,63,13,13,6,13,13
127,83,76,57,85,81,84,79,82,54,86,66,82,55,78,74,75,75,81,60,72,61,85,82,58,39,46,59,31,49,37,12,10,10,9,7
128,83,71,65,83,81,82,85,82,52,84,63,75,35,76,74,78,74,86,55,76,68,82,79,73,32,57,47,71,41,34,7,7,10,14,11
129,83,86,89,52,39,47,47,83,83,58,78,81,78,77,62,93,77,40,89,94,90,64,46,75,74,71,78,56,59,68,12,9,11,11,8
130,83,85,79,68,67,73,68,81,80,76,87,84,79,88,85,65,80,67,77,60,69,65,65,87,74,84,81,78,73,78,14,6,8,10,12
131,83,37,30,23,19,12,30,81,15,25,60,65,18,55,46,49,39,78,55,51,39,72,17,64,15,20,25,16,15,16,82,81,80,85,85
132,83,82,79,52,22,24,72,82,86,20,66,82,44,74,47,72,75,93,58,78,67,79,83,86,88,64,55,62,70,79,6,9,9,8,8
133,83,80,76,84,72,82,87,82,65,82,73,82,66,83,80,58,88,78,64,63,65,66,65,84,65,79,70,74,51,60,11,9,7,12,11
134,83,81,78,77,77,78,76,81,76,79,78,76,87,82,85,82,88,68,70,84,75,81,70,87,65,83,87,79,81,64,11,13,8,12,14
135,83,82,79,79,84,82,76,84,76,80,75,76,80,81,75,81,87,66,79,85,81,53,58,62,61,59,80,49,52,58,12,13,10,9,9
136,83,77,73,83,81,80,84,83,69,82,69,80,81,77,75,79,85,72,81,81,77,90,83,65,55,46,66,40,46,44,15,13,9,10,16
137,83,83,84,81,80,84,84,82,70,81,85,86,74,87,85,68,86,84,50,74,75,83,68,86,66,78,69,70,49,56,9,11,13,9,7
138,83,86,88,79,78,79,52,86,79,83,85,86,84,88,81,84,79,50,90,68,87,53,43,79,77,80,85,82,44,79,11,12,6,8,8
139,83,84,80,77,77,78,76,82,81,79,82,82,69,85,83,69,86,77,69,73,73,80,83,82,77,81,73,60,68,76,10,7,13,12,9
140,83,83,86,44,35,47,65,80,79,43,74,79,82,77,73,85,77,61,71,88,87,71,53,85,81,82,81,79,81,70,10,9,11,9,10
141,83,63,57,86,82,85,89,81,34,85,50,75,45,73,69,58,68,90,52,66,65,89,83,46,39,41,32,30,47,44,9,9,11,14,7
142,83,74,61,87,79,88,73,86,55,84,72,71,68,79,78,54,74,83,49,67,55,73,84,74,55,46,44,42,67,53,8,12,10,6,10
143,83,89,89,70,66,73,77,81,72,74,84,81,73,90,82,78,79,63,84,68,87,75,42,79,61,75,79,70,59,76,7,9,5,6,7
144,83,85,88,48,43,49,60,79,81,44,85,83,81,85,82,79,80,61,84,79,85,37,36,75,77,80,77,74,58,72,10,11,6,11,13
145,83,85,79,64,71,80,79,80,68,78,87,81,75,90,88,61,85,66,72,50,77,58,56,71,61,62,75,76,91,71,14,14,7,13,8
146,83,81,80,55,59,61,82,80,81,55,80,77,79,80,77,90,89,73,83,90,82,75,77,82,83,74,80,64,53,74,15,14,10,15,13
147,83,83,83,75,78,81,75,83,78,79,77,78,85,82,73,82,79,57,88,81,85,74,57,64,65,62,78,51,53,61,11,8,9,12,16
148,83,67,47,87,83,85,82,83,29,85,55,80,35,73,72,62,53,80,45,67,60,86,84,43,34,31,34,28,37,27,13,14,13,14,12
149,83,84,86,56,48,46,57,82,81,63,83,78,81,82,73,86,80,65,88,83,91,60,39,78,76,77,82,81,79,80,7,6,9,7,8
150,83,35,13,11,20,20,37,78,12,13,66,60,22,50,51,59,40,70,49,57,49,60,26,62,16,16,22,20,42,13,82,83,83,82,83
151,83,80,76,45,20,24,56,84,91,22,72,83,47,76,54,70,66,72,75,69,68,90,85,85,87,71,76,48,82,85,7,13,9,5,9
152,83,84,84,37,20,14,69,83,87,24,77,79,73,80,51,78,77,80,63,84,72,84,86,80,84,72,78,44,75,80,4,4,5,4,5
153,83,83,82,85,83,88,89,88,79,83,80,85,70,84,80,77,92,73,86,69,78,64,56,73,73,69,65,49,53,56,5,13,13,5,8
154,83,72,65,87,85,87,77,85,20,86,65,85,25,75,79,66,83,86,35,62,32,67,82,75,37,60,62,56,72,39,13,11,9,9,11
155,83,82,78,75,76,79,67,80,69,78,83,76,83,84,78,75,92,69,74,79,69,43,71,65,63,66,78,60,57,50,15,14,16,11,10
156,83,21,15,13,13,15,43,83,9,25,48,65,19,32,31,63,36,73,62,64,67,82,16,53,18,18,15,14,16,13,81,85,80,70,86
157,83,72,69,86,81,86,84,84,48,86,72,80,54,77,74,53,69,81,42,67,51,75,84,66,36,48,63,22,42,50,7,11,15,10,10
158,83,84,85,77,76,77,73,84,79,78,83,85,79,82,71,86,88,39,87,81,91,71,71,66,67,63,82,67,68,75,14,11,6,10,9
159,83,65,54,85,87,85,86,81,25,86,22,83,27,60,61,80,69,81,60,83,67,86,80,40,25,12,30,10,26,16,15,8,6,8,12
160,83,20,10,10,13,10,31,82,9,18,53,48,11,30,33,38,34,55,39,44,43,69,11,52,11,14,11,15,20,9,83,85,78,69,87
161,83,89,77,59,22,57,46,80,74,56,89,87,86,88,88,72,82,56,80,69,77,49,52,84,75,85,89,85,67,80,7,9,14,7,6
162,83,87,87,58,38,55,66,80,81,45,84,82,81,85,74,84,77,49,95,78,91,72,43,72,79,77,84,78,61,68,13,10,5,5,12
163,83,89,89,55,47,54,59,82,81,49,83,79,79,82,78,77,74,51,93,68,91,58,48,82,76,86,90,86,70,78,14,12,7,9,6
164,83,24,10,15,10,14,30,82,12,22,46,62,13,25,12,45,45,73,37,52,42,75,11,59,13,13,14,12,17,12,83,82,78,79,85
165,83,82,74,78,79,80,73,80,76,79,80,77,85,80,79,74,87,64,77,73,73,78,75,75,54,70,86,82,66,58,11,11,14,8,10
166,83,77,68,85,83,84,86,85,62,84,74,78,80,79,80,68,79,70,73,66,72,79,76,68,46,60,68,58,66,51,6,13,9,10,5
167,83,78,71,83,81,83,85,81,59,85,74,78,62,83,78,66,82,81,62,66,70,76,74,76,54,68,65,53,54,56,3,7,5,9,5
168,83,80,72,80,77,80,85,80,62,82,71,78,84,82,72,82,86,79,79,84,79,85,75,82,61,76,80,55,59,63,8,12,13,9,11
169,83,85,76,58,16,28,58,83,89,50,76,86,63,77,78,61,75,81,36,58,56,64,83,86,86,79,65,54,67,77,15,9,11,13,15
170,83,84,83,80,76,77,83,82,75,79,85,80,80,84,87,65,69,67,80,61,76,56,55,77,71,81,83,81,79,65,7,13,8,7,10
171,83,25,20,14,11,13,37,76,13,23,64,66,12,34,32,53,45,77,54,57,61,79,11,58,12,11,10,16,32,16,81,83,80,77,83
172,83,81,78,82,80,80,76,85,73,83,79,90,69,90,83,60,78,82,70,62,75,78,84,75,71,71,71,68,76,77,10,5,7,7,7
173,83,77,74,82,79,82,83,82,66,87,81,86,63,81,80,62,77,61,80,58,77,81,72,77,62,66,74,47,61,59,5,10,8,8,6
174,83,18,15,14,13,11,34,78,10,20,55,62,13,23,28,46,34,66,55,46,52,68,11,57,10,14,11,11,19,12,84,83,79,76,80
175,82,81,78,77,79,79,76,79,75,79,73,74,82,79,70,85,78,65,74,87,75,64,74,72,52,58,73,45,42,45,5,11,14,9,12
176,82,73,69,86,83,85,76,85,47,85,62,82,45,79,75,79,76,79,75,78,72,88,78,48,47,40,42,26,43,32,14,11,10,8,13
177,82,77,74,81,79,82,75,81,75,83,72,78,69,81,76,61,92,84,60,69,66,82,83,72,72,70,63,53,70,59,6,11,13,5,8
178,82,81,84,45,38,54,76,82,81,55,77,78,78,76,70,91,85,64,79,91,88,74,45,81,74,76,81,75,73,72,8,8,7,13,14
179,82,84,81,51,40,56,68,81,80,58,83,81,82,85,82,78,80,52,76,70,79,51,59,80,79,80,79,82,60,74,8,11,12,13,12
180,82,78,80,70,79,78,82,82,76,72,72,80,80,78,68,90,89,78,69,93,75,66,74,75,68,69,69,64,50,66,7,12,10,7,7
181,82,70,56,85,82,87,88,85,38,84,42,71,40,74,61,80,77,76,57,76,76,73,83,53,38,41,45,49,56,44,15,16,15,13,10
182,82,21,9,20,13,17,34,82,20,23,71,67,10,18,16,41,29,79,41,42,34,67,11,58,8,7,9,18,14,8,83,79,84,77,78
183,82,81,78,77,82,79,73,80,74,78,73,74,81,78,72,77,88,69,72,76,70,82,68,72,49,42,71,67,52,42,7,10,7,14,10
184,82,75,66,83,81,84,83,82,64,83,66,79,71,78,77,75,76,81,65,77,75,82,79,65,42,46,68,55,45,41,5,13,8,10,8
185,82,76,73,85,86,87,87,77,67,83,71,82,59,76,73,48,83,88,44,55,59,80,79,76,62,67,54,45,56,54,7,14,10,8,7
186,82,85,85,70,75,78,68,83,82,77,84,77,72,81,81,67,75,67,66,60,71,46,67,75,79,83,75,59,67,67,13,16,11,7,13
187,82,83,83,78,76,84,81,84,78,84,83,80,77,84,79,73,84,79,74,74,76,81,79,84,78,77,75,69,58,58,13,9,12,9,14
188,82,85,85,54,45,57,85,84,84,56,75,84,71,75,71,88,81,73,86,81,87,73,75,84,83,75,77,58,63,78,9,7,12,15,11
